commit_hash,actor,branch,commit_message,event_type,files_changed,lines_added,lines_deleted,lines_changed,execution_time_seg,test_duration_sec,build_duration_sec,failed_job_name,failed_steps_count,log_category,dia_semana,hora_dia,is_weekend,is_hotfix_branch,is_feature_branch,is_main_branch,has_docker_change,has_db_change,has_api_change,has_frontend_change,has_login_change,has_dependency_change,has_env_change,has_migration_change,commit_action,commit_scope,risk_score_synthetic,status
a4dcbf17,junior_juan,feature/api,merge api module,pull_request,9,484,284,768,652,286,277,quality-and-testing,4,timeout,2,21,0,0,1,0,0,0,1,0,0,0,0,0,merge,api,0.4551,failure
926c50bd,junior_juan,release/v1,rollback migration module,pull_request,16,8,194,202,530,275,202,quality-and-testing,1,database,3,23,0,0,0,0,0,0,0,0,0,0,0,1,rollback,migration,0.6248,failure
7e028091,anndrew492,feature/pagos,fix auth module,push,5,269,25,294,49,20,24,none,0,none,2,21,0,0,1,0,0,0,0,0,1,0,0,0,fix,auth,0.3712,success
c1241c5a,carlos_dev,main,remove login module,push,9,364,355,719,456,184,231,quality-and-testing,2,database,5,21,0,0,0,1,0,0,0,0,1,0,0,0,remove,login,0.9200,failure
d97b14cc,carlos_dev,feature/dashboard,add tests module,push,13,57,358,415,290,79,156,none,0,none,5,0,0,0,1,0,0,0,0,0,0,0,0,0,add,tests,0.2982,success
1063e810,junior_juan,feature/api,add docker module,push,5,614,336,950,518,247,209,security-and-build,4,docker,3,20,0,0,1,0,1,0,0,0,0,0,0,0,add,docker,0.8072,failure
6d740b48,junior_juan,hotfix/urgente,add dashboard module,push,8,488,193,681,418,112,295,quality-and-testing,4,syntax,5,19,0,1,0,0,0,0,0,1,0,0,0,0,add,dashboard,0.6302,failure
ee12d126,junior_juan,ci/cd-proyecto,update environment module,pull_request,15,540,296,836,533,255,244,security-and-build,1,timeout,2,5,0,0,0,0,0,0,0,0,0,0,1,0,update,environment,0.6114,failure
586f67b6,junior_juan,hotfix/urgente,update frontend module,push,22,159,244,403,474,172,238,security-and-build,1,dependency,3,19,0,1,0,0,0,0,0,1,0,0,0,0,update,frontend,0.5693,failure
50f25fcd,carlos_dev,feature/pagos,rollback tests module,push,5,583,78,661,575,284,225,security-and-build,1,timeout,7,19,1,0,1,0,0,0,0,0,0,0,0,0,rollback,tests,0.5332,failure
